1,102,カジュウ１００パーセント　オレンジ,200,3
2,102,カジュウ１００パーセント　グレープ,200,3
3,102,カジュウ１００パーセント　レモン,200,3
4,102,カジュウ１００パーセント　ピーチ,200,3
5,102,コーヒーマイルド,190,3
6,102,コーヒービター,190,3
7,102,コーヒーミルク,190,3
8,101,ピリピリビール,280,3
9,101,オタルシロラベル,300,3
10,101,バードワイン,250,3
11,602,ホワイトソルト,2600,4
12,602,ブラックペッパー,210,4
13,602,ピュアシュガー,2800,4
14,602,ウマイモト,250,4
15,602,ピュアデミグラスソース,200,4
16,602,ダシカツオ,290,4
17,602,ダシコンブ,290,4
18,602,ピリカラタバスコ,200,4
19,602,ノリサンショウ,50,4
20,602,トクセイワフウショウユ,320,4
21,303,バニラクリームアイス,2800,1
22,303,チョコクリームアイス,2800,1
23,303,コウチャバー,120,1
24,302,ジャガチップス,130,3
25,302,アメリカンクラッカー,180,3
26,302,バナナキャンディー,160,3
27,302,メロンミルクキャンディー,160,3
28,301,オグラアンパン,500,3
29,301,インドカレーパン,500,3
30,301,チーズアンパン,500,3
31,201,ロッキーチーズ,380,1
32,201,パルメザンチーズ,1200,1
33,201,フレッシュバター,420,1
34,201,ライフマーガリン,380,1
35,201,ローカロリーギュウニュウ,180,1
36,201,ギュウニュウマイルド,200,1
37,201,ストロベリーヨーグルト,180,1
38,201,ブルーベリーヨーグルト,180,1
39,201,ラズベリーヨーグルト,180,1
40,201,ココナッツミルク,300,1
41,301,モーニングブレッド,450,3
42,301,バタートースト,450,3
43,301,バケットフランス,450,3
44,601,ゴクジョウパスタ,210,4
45,601,ゴクジョウマカロニ,190,4
46,601,デントウスパゲッティ,250,4
47,302,ヘルシークラッカー,180,3
48,601,コーンフレークプレーン,220,4
49,601,コーンフレークチョコ,220,4
50,601,コーンフレークシュガー,220,4
51,501,アメリカンポーク,180,5
52,501,ウスアジウインナー,160,5
53,501,ベターローストハム,5400,5
54,501,ベタープレスハム,3200,5
55,501,ベターナマハム,6000,5
56,501,トクセイサラミ,230,5
57,501,ワフウハンバーグレトルト,160,5
58,501,テリヤキミートボール,160,5
59,501,ミックスハム,5300,5
60,501,ミートバー,300,5
61,402,モメンドウフトクジョウ,120,2
62,402,キヌゴシドウフトクジョウ,120,2
64,401,レイトウクリームコロッケ,280,2
65,401,レイトウコーンクリームコロッケ,280,2
66,401,レイトウポテトコロッケ,260,2
71,601,トクセンアジノリ,1800,4
72,402,ホッカイドウコンブ,4400,2
73,601,ヤキイカスルメクン,200,4
74,402,ショクタクワカメ,250,2
75,602,フリカケカツオフウミ,1300,4
76,602,フリカケサケフウミ,1300,4
81,302,セイリョウスカッシュ,190,3
82,302,セイリョウレモン,190,3
96,402,トクセンシジミ,420,2
97,201,ナマニュウヨーグルト,280,1
98,602,ヤキニクノタレ,280,4
102,302,ポテトスナック,140,3
110,402,カニノアシ,230,2
111,302,マスカットガム,100,3
114,402,トクセンヤキチクワ,210,2
115,601,マイルドカレー,200,4
116,601,ゲキカンカレー,300,4
117,601,キタキツネラーメン,200,4
118,402,トクセンサザエ,500,2
122,601,サヌキメン,1000,4
124,302,ワタガシハツユキ,100,3
